regime,n,positive_count,negative_count,metric,method,estimate,ci_low,ci_high,valid_bootstrap_replicates,status
undecidable-negative,4088,28,4060,AUROC,Likes,0.9482582688247713,0.886262647037635,0.9918193511281511,10000,estimable
undecidable-negative,4088,28,4060,AP,Likes,0.5026426125293122,0.32250801707422166,0.6807942013757857,10000,estimable
undecidable-negative,4088,28,4060,Top-1% lift,Likes,56.97560975609757,41.25820016820858,75.97446197991381,10000,estimable
undecidable-negative,4088,28,4060,Top-5% lift,Likes,17.09268292682927,14.168934531450578,19.29819040125885,10000,estimable
undecidable-negative,4088,28,4060,Top-10% lift,Likes,8.924205378973106,7.615321923390383,9.995110024449877,10000,estimable
undecidable-positive,4088,59,4029,AUROC,S_C3_Q10,0.9225025345903218,0.8759662729015047,0.9603074912972682,10000,estimable
undecidable-positive,4088,59,4029,AP,S_C3_Q10,0.24293096026905567,0.161933915519238,0.35931804800532846,10000,estimable
undecidable-positive,4088,59,4029,Top-1% lift,S_C3_Q10,18.58949979330302,9.232158988256549,29.005764966740575,10000,estimable
undecidable-positive,4088,59,4029,Top-5% lift,S_C3_Q10,13.519636213311287,11.039024390243902,15.774900497512434,10000,estimable
undecidable-positive,4088,59,4029,Top-10% lift,S_C3_Q10,8.470432224110066,7.623389001699059,9.418469061500847,10000,estimable
undecidable-positive,4088,59,4029,AUROC,Submitted Full ModelRank,0.9402930449158853,0.8956463598246508,0.9742452811875472,10000,estimable
undecidable-positive,4088,59,4029,AP,Submitted Full ModelRank,0.3978295771926499,0.28522440298219576,0.5462686411937757,10000,estimable
undecidable-positive,4088,59,4029,Top-1% lift,Submitted Full ModelRank,35.48904505994213,25.68218773096822,46.292682926829265,10000,estimable
undecidable-positive,4088,59,4029,Top-5% lift,Submitted Full ModelRank,15.54758164530798,13.294308943089431,17.52431633407243,10000,estimable
undecidable-positive,4088,59,4029,Top-10% lift,Submitted Full ModelRank,8.80924951307447,7.926993651303702,9.587146349982536,10000,estimable
