regime,n,positive_count,negative_count,metric,reference,method,estimate,ci_low,ci_high,raw_p_value,holm_p_value,valid_bootstrap_replicates,status
confirmed-only,4057,28,4029,AP,S_C3_Q10,Temporal Vanilla PageRank,-0.0882137164010377,-0.1869709799851513,0.011353113863835626,0.08759124087591241,0.26277372262773724,10000,estimable
confirmed-only,4057,28,4029,Top-1% lift,S_C3_Q10,Temporal Vanilla PageRank,-3.5339721254355396,-18.847851335656213,6.8242220353238,0.591940805919408,1.0,10000,estimable
confirmed-only,4057,28,4029,Top-5% lift,S_C3_Q10,Temporal Vanilla PageRank,2.855031667839551,0.0,6.837425182414158,0.10738926107389261,0.6431356864313569,10000,estimable
confirmed-only,4057,28,4029,Top-10% lift,S_C3_Q10,Temporal Vanilla PageRank,1.4275158339197755,0.30280638901328594,2.8550316678395493,0.0415958404159584,0.2495750424957504,10000,estimable
confirmed-only,4057,28,4029,AUROC,S_C3_Q10,Downloads,-0.00855405453320568,-0.01623672004691551,-0.000547284028313795,0.038196180381961806,0.07639236076392361,10000,estimable
confirmed-only,4057,28,4029,AP,S_C3_Q10,Downloads,-0.41263354146064474,-0.5597690317630909,-0.23360436807365825,0.00039996000399960006,0.001999800019998,10000,estimable
confirmed-only,4057,28,4029,Top-1% lift,S_C3_Q10,Downloads,-31.805749128919864,-49.47560975609757,-15.22326454033771,0.00039996000399960006,0.0027997200279972004,10000,estimable
confirmed-only,4057,28,4029,Top-5% lift,S_C3_Q10,Downloads,0.0,-3.4457278749787683,3.3308702791461418,1.0,1.0,10000,estimable
confirmed-only,4057,28,4029,Top-10% lift,S_C3_Q10,Downloads,0.0,0.0,0.0,1.0,1.0,10000,estimable
confirmed-only,4057,28,4029,AUROC,S_C3_Q10,Likes,0.028201787043931503,-0.011767457317555343,0.08679893722297223,0.2753724627537246,0.2753724627537246,10000,estimable
confirmed-only,4057,28,4029,AP,S_C3_Q10,Likes,-0.33556553730072664,-0.48646634880546524,-0.15811063047972723,0.00019998000199980003,0.0013998600139986002,10000,estimable
confirmed-only,4057,28,4029,Top-1% lift,S_C3_Q10,Likes,-28.271777003484317,-49.47560975609757,-13.6484440706476,0.00039996000399960006,0.0027997200279972004,10000,estimable
confirmed-only,4057,28,4029,Top-5% lift,S_C3_Q10,Likes,-0.7137579169598851,-2.2840253342716412,1.7378453630327684,0.9257074292570743,1.0,10000,estimable
confirmed-only,4057,28,4029,Top-10% lift,S_C3_Q10,Likes,1.0706368754398312,0.0,2.3791930565329578,0.10698930106989302,0.32096790320967905,10000,estimable
undecidable-negative,4088,28,4060,AUROC,S_C3_Q10,Submitted Full ModelRank,-0.011998592540464426,-0.017857869126143608,-0.006037340562793795,0.00019998000199980003,0.0013998600139986002,10000,estimable
undecidable-negative,4088,28,4060,AP,S_C3_Q10,Submitted Full ModelRank,-0.1928549007472617,-0.31681636361498133,-0.09920537993119989,0.00039996000399960006,0.001999800019998,10000,estimable
undecidable-negative,4088,28,4060,Top-1% lift,S_C3_Q10,Submitted Full ModelRank,-28.48780487804879,-46.5352743902439,-10.779169413315756,0.00039996000399960006,0.0027997200279972004,10000,estimable
undecidable-negative,4088,28,4060,Top-5% lift,S_C3_Q10,Submitted Full ModelRank,-1.4243902439024367,-4.431436314363145,1.208573540280856,0.4353564643535646,1.0,10000,estimable
undecidable-negative,4088,28,4060,Top-10% lift,S_C3_Q10,Submitted Full ModelRank,0.0,-0.624694376528117,0.0,1.0,1.0,10000,estimable
undecidable-negative,4088,28,4060,AUROC,S_C3_Q10,AllTime DerivCount,0.07145935960591132,0.014476709231121284,0.14191034911531702,0.013398660133986601,0.040195980401959805,10000,estimable
undecidable-negative,4088,28,4060,AP,S_C3_Q10,AllTime DerivCount,-0.08205793691479646,-0.19555114411765356,0.019282864347138374,0.12858714128587143,0.2531746825317468,10000,estimable
undecidable-negative,4088,28,4060,Top-1% lift,S_C3_Q10,AllTime DerivCount,-10.682926829268297,-22.15718157181572,3.692863595302626,0.31016898310168983,1.0,10000,estimable
undecidable-negative,4088,28,4060,Top-5% lift,S_C3_Q10,AllTime DerivCount,2.848780487804879,-0.6231707317073152,6.345011086474502,0.14078592140785923,0.8195180481951805,10000,estimable
undecidable-negative,4088,28,4060,Top-10% lift,S_C3_Q10,AllTime DerivCount,1.427872860635695,0.285574572127139,2.8111246943765273,0.04559544045595441,0.27357264273572646,10000,estimable
undecidable-negative,4088,28,4060,AUROC,S_C3_Q10,Current DerivCount,0.30185168895144265,0.21392326843187617,0.3840724993609432,0.00019998000199980003,0.0013998600139986002,10000,estimable
undecidable-negative,4088,28,4060,AP,S_C3_Q10,Current DerivCount,0.13885655341510061,0.07429167442917968,0.1868196938596718,0.00019998000199980003,0.0013998600139986002,10000,estimable
undecidable-negative,4088,28,4060,Top-1% lift,S_C3_Q10,Current DerivCount,7.121951219512191,0.0,24.067283431455003,0.6715328467153284,1.0,10000,estimable
undecidable-negative,4088,28,4060,Top-5% lift,S_C3_Q10,Current DerivCount,9.258536585365855,5.501093355761142,13.038649155722325,0.00019998000199980003,0.0013998600139986002,10000,estimable
undecidable-negative,4088,28,4060,Top-10% lift,S_C3_Q10,Current DerivCount,6.068459657701711,4.100557958748668,7.853300733496332,0.00019998000199980003,0.0013998600139986002,10000,estimable
undecidable-negative,4088,28,4060,AUROC,S_C3_Q10,Vanilla PageRank,0.07323627726952853,0.016646778863907537,0.14337186598936796,0.007999200079992,0.03999600039996,10000,estimable
undecidable-negative,4088,28,4060,AP,S_C3_Q10,Vanilla PageRank,-0.08340978415326983,-0.17942953636203726,0.012556081384040647,0.10058994100589941,0.2531746825317468,10000,estimable
undecidable-negative,4088,28,4060,Top-1% lift,S_C3_Q10,Vanilla PageRank,-3.560975609756099,-16.617886178861788,7.385727190605241,0.708929107089291,1.0,10000,estimable
undecidable-negative,4088,28,4060,Top-5% lift,S_C3_Q10,Vanilla PageRank,2.848780487804879,-0.5865136298421803,6.345011086474502,0.13658634136586342,0.8195180481951805,10000,estimable
undecidable-negative,4088,28,4060,Top-10% lift,S_C3_Q10,Vanilla PageRank,1.427872860635695,0.285574572127139,2.8111246943765273,0.04559544045595441,0.27357264273572646,10000,estimable
undecidable-negative,4088,28,4060,AUROC,S_C3_Q10,Temporal Vanilla PageRank,0.08453553835327232,0.010414938454027465,0.1765798025489503,0.007999200079992,0.03999600039996,10000,estimable
undecidable-negative,4088,28,4060,AP,S_C3_Q10,Temporal Vanilla PageRank,-0.08718238713880383,-0.18401160647567266,0.00931471180209841,0.08439156084391561,0.2531746825317468,10000,estimable
undecidable-negative,4088,28,4060,Top-1% lift,S_C3_Q10,Temporal Vanilla PageRank,-3.560975609756099,-16.61788617886179,7.6697936210131274,0.7191280871912809,1.0,10000,estimable
undecidable-negative,4088,28,4060,Top-5% lift,S_C3_Q10,Temporal Vanilla PageRank,2.848780487804879,-0.5697560975609761,6.345011086474502,0.1377862213778622,0.8195180481951805,10000,estimable
undecidable-negative,4088,28,4060,Top-10% lift,S_C3_Q10,Temporal Vanilla PageRank,1.427872860635695,0.285574572127139,2.8111246943765273,0.04559544045595441,0.27357264273572646,10000,estimable
undecidable-negative,4088,28,4060,AUROC,S_C3_Q10,Downloads,-0.009689479239971877,-0.017890630067053673,-0.0011834644790927596,0.026797320267973202,0.053594640535946404,10000,estimable
undecidable-negative,4088,28,4060,AP,S_C3_Q10,Downloads,-0.3971490360646417,-0.5511984382335844,-0.21248723955890192,0.00019998000199980003,0.0013998600139986002,10000,estimable
undecidable-negative,4088,28,4060,Top-1% lift,S_C3_Q10,Downloads,-32.04878048780489,-49.853658536585364,-13.294308943089433,0.0007999200079992001,0.0047995200479952005,10000,estimable
undecidable-negative,4088,28,4060,Top-5% lift,S_C3_Q10,Downloads,0.0,-3.560975609756097,3.438183347350714,1.0,1.0,10000,estimable
undecidable-negative,4088,28,4060,Top-10% lift,S_C3_Q10,Downloads,0.0,-0.624694376528117,0.0,1.0,1.0,10000,estimable
undecidable-negative,4088,28,4060,AUROC,S_C3_Q10,Likes,0.028184377199155564,-0.0119327710245584,0.0871125589700387,0.2763723627637236,0.2763723627637236,10000,estimable
undecidable-negative,4088,28,4060,AP,S_C3_Q10,Likes,-0.23776580288783777,-0.3990050909961857,-0.05218821437318677,0.015798420157984203,0.06319368063193681,10000,estimable
