regime,n,positive_count,negative_count,metric,left_method,right_method,left_estimate,right_estimate,difference,ci_low,ci_high,raw_p_value,valid_bootstrap_replicates,status,holm_p_value
confirmed-only,4057,28,4029,Top-1% lift,AllTime DerivCount,Likes,45.94163763066202,63.61149825783972,-17.669860627177698,-37.106707317073166,-6.383949645948071,0.0057994200579942,10000,estimable,0.115988401159884
confirmed-only,4057,28,4029,Top-5% lift,AllTime DerivCount,Likes,13.56140042223786,17.130190007037296,-3.568789584799436,-6.6617405582922835,-0.8689226815163842,0.012398760123987601,10000,estimable,0.26037396260373963
confirmed-only,4057,28,4029,Top-10% lift,AllTime DerivCount,Likes,8.565095003518648,8.921973961998592,-0.35687895847994433,-1.9340537104719528,1.2490763546798025,0.8347165283471653,10000,estimable,1.0
confirmed-only,4057,28,4029,AUROC,Current DerivCount,Vanilla PageRank,0.6746578378186717,0.9046333723362763,-0.22997553451760455,-0.31876900980060824,-0.14011436671647476,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,AP,Current DerivCount,Vanilla PageRank,0.12674403217864255,0.35767204790248264,-0.23092801572384009,-0.3318362740206501,-0.10875867379929383,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,Top-1% lift,Current DerivCount,Vanilla PageRank,28.27177700348432,38.87369337979094,-10.601916376306622,-28.863286362284356,2.4753662445278093,0.1827817218278172,10000,estimable,1.0
confirmed-only,4057,28,4029,Top-5% lift,Current DerivCount,Vanilla PageRank,7.137579169598874,13.56140042223786,-6.4238212526389855,-9.992610837438423,-3.028063890132855,0.00039996000399960006,10000,estimable,0.009599040095990401
confirmed-only,4057,28,4029,Top-10% lift,Current DerivCount,Vanilla PageRank,3.925668543279381,8.565095003518648,-4.639426460239267,-6.533630162940508,-2.797931034482759,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,AUROC,Current DerivCount,Temporal Vanilla PageRank,0.6746578378186717,0.893216147218381,-0.21855830939970933,-0.3183246920944082,-0.11335734490899828,0.00019998000199980003,10000,estimable,0.005599440055994401
confirmed-only,4057,28,4029,AP,Current DerivCount,Temporal Vanilla PageRank,0.12674403217864255,0.36201880848056806,-0.2352747763019255,-0.3376782937216465,-0.11200507557488353,0.00019998000199980003,10000,estimable,0.005599440055994401
