method,mapping,domain,domain_n,gini,top_10_models_share,top_10_percent_share,ever_parent_count,ever_parent_share
Vanilla PageRank,crossmodal_reassigned,NLP,230385,0.7045675922895778,0.1619184321031548,0.7229293667578969,45842,0.19897996831390932
Vanilla PageRank,crossmodal_reassigned,RL/Robotics,4750,0.4467102258965345,0.4227026873448092,0.5026854184545807,143,0.030105263157894736
Downloads,submitted,Audio,17613,0.9971317816930788,0.555057138107783,0.9997329993479506,1524,0.08652699710441152
Downloads,submitted,CV,84593,0.9981714824441597,0.4964903593171926,0.9991850156387104,2605,0.030794510184057784
Downloads,submitted,Multimodal,10194,0.9883636233027476,0.4296274891391182,0.9961389186989796,2142,0.21012360211889347
Downloads,submitted,NLP,230385,0.9978021736712448,0.3909213410071091,0.99917930696547,45842,0.19897996831390932
Downloads,submitted,RL/Robotics,4750,0.9944058959293314,0.8735457887830798,0.9943076143582816,143,0.030105263157894736
Downloads,crossmodal_reassigned,Audio,17613,0.9971317816930788,0.555057138107783,0.9997329993479506,1524,0.08652699710441152
Downloads,crossmodal_reassigned,CV,18351,0.9967488799649928,0.5821201949638993,0.9997410868234436,1200,0.06539153179663233
Downloads,crossmodal_reassigned,Multimodal,76436,0.9965256751725156,0.3324789796647556,0.9985403562889772,3547,0.04640483541786593
Downloads,crossmodal_reassigned,NLP,230385,0.9978021736712448,0.3909213410071091,0.99917930696547,45842,0.19897996831390932
Downloads,crossmodal_reassigned,RL/Robotics,4750,0.9944058959293314,0.8735457887830798,0.9943076143582816,143,0.030105263157894736
Likes,submitted,Audio,17613,0.9863951785574976,0.2985361756979776,0.9905959786334384,1524,0.08652699710441152
Likes,submitted,CV,84593,0.9842515068742924,0.1691594743799082,0.9826856387528186,2605,0.030794510184057784
Likes,submitted,Multimodal,10194,0.9569714773449643,0.146292318065639,0.95005723425274,2142,0.21012360211889347
Likes,submitted,NLP,230385,0.9749565193279416,0.070954467999613,0.973869389111708,45842,0.19897996831390932
Likes,submitted,RL/Robotics,4750,0.9900289166496008,0.6663424124513618,1.0,143,0.030105263157894736
Likes,crossmodal_reassigned,Audio,17613,0.9863951785574976,0.2985361756979776,0.9905959786334384,1524,0.08652699710441152
Likes,crossmodal_reassigned,CV,18351,0.9829513110016904,0.2475108318269203,0.9926114028291873,1200,0.06539153179663233
Likes,crossmodal_reassigned,Multimodal,76436,0.981156439823867,0.1433670120647707,0.980201334320938,3547,0.04640483541786593
