layer,metric,method,n_months,mean_top_value,mean_base_value,mean_lift,mean_spearman,mean_auc
descendant_quality,future_high_like_child_count_3m,EventValue,17,0.02171683888154139,0.004196309346854173,4.194071610573854,0.10964894378975541,
descendant_quality,future_high_like_child_count_3m,ModelRank,17,0.02773889488768558,0.004196309346854173,5.6695952806235645,0.040677278232032134,
descendant_quality,future_high_like_child_count_3m,Simplified-MR,17,0.026431862863060686,0.004196309346854173,5.368961685531872,0.041015775820434947,
descendant_quality,future_nonzero_download_child_share_3m,AllTimeDerivCount,17,0.024596368562969362,0.008080092637072711,3.716235332205756,0.1076855887361482,
descendant_quality,future_nonzero_download_child_share_3m,CurrentDerivCount,17,0.0183060017057098,0.008080092637072711,2.492903467160225,0.11491537598701751,
descendant_quality,future_nonzero_download_child_share_3m,Downloads,17,0.027459614082988543,0.008080092637072711,3.3653828405679422,0.06612881102346498,
descendant_quality,future_nonzero_download_child_share_3m,EventValue,17,0.0183060017057098,0.008080092637072711,2.492903467160225,0.11479721198000663,
descendant_quality,future_nonzero_download_child_share_3m,ModelRank,17,0.03633523214554787,0.008080092637072711,4.499839983180088,0.07990281046752545,
descendant_quality,future_nonzero_download_child_share_3m,Simplified-MR,17,0.03336707390421433,0.008080092637072711,4.222510070795198,0.08044861667560058,
descendant_quality,future_nonzero_like_child_share_3m,AllTimeDerivCount,17,0.0069392999661525056,0.001599464970697043,5.007871164634528,0.08926697759843456,
descendant_quality,future_nonzero_like_child_share_3m,CurrentDerivCount,17,0.004955360479675845,0.001599464970697043,3.2391085249811518,0.10568800070037877,
descendant_quality,future_nonzero_like_child_share_3m,Downloads,17,0.005352650462161909,0.001599464970697043,3.308106852565878,0.0259535291403915,
descendant_quality,future_nonzero_like_child_share_3m,EventValue,17,0.004955360479675845,0.001599464970697043,3.2391085249811518,0.10552058377003287,
descendant_quality,future_nonzero_like_child_share_3m,ModelRank,17,0.008395300229262326,0.001599464970697043,5.218174879043847,0.03971297172277026,
descendant_quality,future_nonzero_like_child_share_3m,Simplified-MR,17,0.007734433739343194,0.001599464970697043,4.900293176012265,0.040008655749080045,
quantity,future_active_parent_binary_3m,AllTimeDerivCount,17,0.027945059632831542,0.009062710053753004,3.6478636285600565,0.11226815411820629,0.6342378133924024
quantity,future_active_parent_binary_3m,CurrentDerivCount,17,0.020863175795347248,0.009062710053753004,2.466432565883109,0.11613298734074001,0.554445706773122
quantity,future_active_parent_binary_3m,Downloads,17,0.029710396066947222,0.009062710053753004,3.2091390712920407,0.06652311898814843,0.6937561410328547
quantity,future_active_parent_binary_3m,EventValue,17,0.020863175795347248,0.009062710053753004,2.466432565883109,0.11602372360032806,0.554395320357469
quantity,future_active_parent_binary_3m,ModelRank,17,0.039877280520820145,0.009062710053753004,4.34456460212001,0.08250139501799436,0.7564960489631886
quantity,future_active_parent_binary_3m,Simplified-MR,17,0.03675903656214523,0.009062710053753004,4.0914456928270555,0.08309269420092197,0.7520838753790654
quantity,future_active_parent_months_3m,AllTimeDerivCount,17,0.03380796744653451,0.01000228744228562,3.919945001988785,0.1124715035318498,
quantity,future_active_parent_months_3m,CurrentDerivCount,17,0.02547679464664219,0.01000228744228562,2.6878102017008683,0.11638708220626783,
quantity,future_active_parent_months_3m,Downloads,17,0.033375767724480594,0.01000228744228562,3.2364589899962937,0.06649440535101067,
quantity,future_active_parent_months_3m,EventValue,17,0.02547679464664219,0.01000228744228562,2.6878102017008683,0.11627739379136319,
quantity,future_active_parent_months_3m,ModelRank,17,0.046141011531212535,0.01000228744228562,4.529840776437088,0.0825044314699527,
quantity,future_active_parent_months_3m,Simplified-MR,17,0.042464888315975925,0.01000228744228562,4.256473842824401,0.08309466511825435,
quantity,future_direct_children_3m,AllTimeDerivCount,17,0.11661596502246092,0.021854072419760867,5.003343977401135,0.11252217686647104,
quantity,future_direct_children_3m,CurrentDerivCount,17,0.10047282433526428,0.021854072419760867,3.7220397924029083,0.11645979325719985,
quantity,future_direct_children_3m,Downloads,17,0.05918171944315803,0.021854072419760867,2.9808140084369037,0.06650081809191578,
quantity,future_direct_children_3m,EventValue,17,0.10047282433526428,0.021854072419760867,3.7220397924029083,0.11635003220756124,
quantity,future_direct_children_3m,ModelRank,17,0.1344882515885308,0.021854072419760867,5.223698353757323,0.0825167515107164,
quantity,future_direct_children_3m,Simplified-MR,17,0.12992395340325436,0.021854072419760867,5.024010421095147,0.08311434927327745,
repropagation,future_child_becomes_parent_share_3m,AllTimeDerivCount,14,0.0014725138826992706,0.00021822770405078592,7.3475936564764295,0.07688710166891403,
repropagation,future_child_becomes_parent_share_3m,CurrentDerivCount,14,0.0010598492258659699,0.00021822770405078592,4.7350104007627865,0.09443179264194687,
repropagation,future_child_becomes_parent_share_3m,Downloads,14,0.0009489505069058944,0.00021822770405078592,4.440836101776931,0.012390242369153088,
repropagation,future_child_becomes_parent_share_3m,EventValue,14,0.0010598492258659699,0.00021822770405078592,4.735010400762787,0.09419776670348412,
repropagation,future_child_becomes_parent_share_3m,ModelRank,14,0.0014477613174579238,0.00021822770405078592,6.8489266791052925,0.02156239944602693,
repropagation,future_child_becomes_parent_share_3m,Simplified-MR,14,0.001346364013824783,0.00021822770405078592,6.414538396908476,0.021516945056812096,
repropagation,future_child_future_child_count_mean_3m,AllTimeDerivCount,14,0.004781955669911875,0.0008169823032047729,7.067558744492544,0.07688716210205013,
repropagation,future_child_future_child_count_mean_3m,CurrentDerivCount,14,0.0035501204541725064,0.0008169823032047729,4.448917848934161,0.09443260395183335,
