candidate,baseline,family,metric,statistic,material_threshold,n_months,mean_difference,sd_difference,ci_low,ci_high,p_raw,bootstrap_ci_low,bootstrap_ci_high,bootstrap_direction,holm_p,holm_family_size,decision,robust_material_win,material_loss
MTPR_time_safe_typed,No type weight,repropagation,future_child_second_order_diffusion_share_3m,lift,0.1,3,-0.0295367907330976,0.05115922224225463,-0.1566233440073237,0.0975497625411285,0.42264973081037416,-0.0886103721992928,0.0,mixed,0.8452994616207483,21,tie,False,False
MTPR_time_safe_typed,No type weight,adoption_breadth,future_child_owner_breadth_3m,lift,0.1,6,-0.0329196874743396,0.014669324798635672,-0.04831419973123786,-0.01752517521744134,0.002721718754018561,-0.043514750066305785,-0.022567142822322354,negative,0.05359043387471425,21,tie,False,False
MTPR_time_safe_typed,No type weight,adoption_breadth,future_high_download_child_owner_breadth_3m,lift,0.1,6,-0.024762694424316667,0.021188201370254848,-0.04699834808755503,-0.0025270407610783023,0.0352937671213579,-0.03965748773286001,-0.009867901115773329,negative,0.2117626027281474,21,tie,False,False
MTPR_time_safe_typed,No type weight,adoption_breadth,future_high_like_child_owner_breadth_3m,lift,0.1,6,-0.02568826821060795,0.016939571550781674,-0.04346525832056633,-0.007911278100649576,0.013789501050346032,-0.037571334083875474,-0.012998561674939365,negative,0.1792635136544984,21,tie,False,False
MTPR_time_safe_typed,No type weight,adoption_breadth,future_cross_owner_reuse_share_3m,lift,0.1,6,-0.036520125023171625,0.016215899180620857,-0.05353766755627524,-0.01950258249006801,0.002679521693735713,-0.048111092107805835,-0.025182385670603786,negative,0.05359043387471425,21,tie,False,False
MTPR_time_safe_typed,No parent size,quantity,future_direct_children_3m,lift,0.1,6,0.03550448087493,0.021320551847285547,0.013129933904138382,0.05787902784572162,0.009548634141430569,0.019356761495292307,0.05070230244747161,positive,0.19097268282861138,21,tie,False,False
MTPR_time_safe_typed,No parent size,quantity,future_active_parent_months_3m,lift,0.1,6,0.04546304747188379,0.03190558097342778,0.011980193686781465,0.07894590125698611,0.01746412086111555,0.0231244323993142,0.06799363318772904,positive,0.3318182963611955,21,tie,False,False
MTPR_time_safe_typed,No parent size,quantity,future_active_parent_binary_3m,auc,0.01,6,0.0016117269356900425,0.0011345333308401865,0.00042110722365644904,0.002802346647723636,0.017663213683229765,0.0008626284068029381,0.0025176420424941615,positive,0.3318182963611955,21,tie,False,False
MTPR_time_safe_typed,No parent size,descendant_quality,future_child_download_quality_sum_3m,lift,0.1,6,0.03239018578504401,0.027062164780539834,0.003990185571607623,0.0607901859984804,0.032566685885427445,0.013548445819632068,0.05230728197083686,positive,0.4885002882814117,21,tie,False,False
MTPR_time_safe_typed,No parent size,descendant_quality,future_child_like_quality_sum_3m,lift,0.1,6,0.02089465371152288,0.024398895609065954,-0.0047104169147325695,0.04649972433777833,0.0900171265621802,0.005266380338477076,0.03899046876539917,positive,1.0,21,tie,False,False
MTPR_time_safe_typed,No parent size,descendant_quality,future_high_download_child_count_3m,lift,0.1,6,0.027131502078045378,0.032582962919029616,-0.007062220462593596,0.06132522461868435,0.09691009739061954,0.005086384531661918,0.0523676132637958,positive,1.0,21,tie,False,False
