download_band,deriv_band,n,n_hi,n_lo,median_score,mr_hi_desc_count_mean,mr_lo_desc_count_mean,mr_hi_desc_count_median,mr_lo_desc_count_median,desc_count_u_stat,desc_count_p_value,desc_count_effect_r,mr_hi_desc_depth_mean,mr_lo_desc_depth_mean,mr_hi_desc_depth_median,mr_lo_desc_depth_median,desc_depth_u_stat,desc_depth_p_value,desc_depth_effect_r,mr_hi_active_months_mean,mr_lo_active_months_mean,mr_hi_active_months_median,mr_lo_active_months_median,active_months_u_stat,active_months_p_value,active_months_effect_r,mr_hi_type_diversity_mean,mr_lo_type_diversity_mean,mr_hi_type_diversity_median,mr_lo_type_diversity_median,type_diversity_u_stat,type_diversity_p_value,type_diversity_effect_r,favorable_metrics
8-16,9+,445,223,222,2.8985316490282216,193.48430493273543,231.6891891891892,50.0,48.0,24767.0,0.4960290064465517,0.0005655880095341015,5.7757847533632285,6.981981981981982,4.0,4.0,23710.5,0.780835676050772,0.04211610713852865,4.345291479820628,3.1981981981981984,4.0,3.0,33219.0,1.1373247567978945e-10,0.342019149194037,2.304932735426009,2.036036036036036,2.0,2.0,29540.5,3.1262856782898636e-05,0.19341089968892655,2
17-43,1,1450,725,725,2.800596059838819,1.0855172413793104,1.6220689655172413,1.0,1.0,260967.0,0.7321371837651884,0.007022116527942934,1.0510344827586207,1.0882758620689654,1.0,1.0,260954.5,0.7335544945440674,0.007069678953626646,1.0,1.0,1.0,1.0,262812.5,1.0,0.0,1.0,1.0,1.0,1.0,262812.5,1.0,0.0,0
17-43,2,844,422,422,3.1456139241469154,3.248815165876777,2.3483412322274884,2.0,2.0,90265.5,0.23062712996083012,0.013740706632825006,1.1563981042654028,1.1161137440758293,1.0,1.0,90141.5,0.25388621088696006,0.012348105388468422,1.1990521327014219,1.2440758293838863,1.0,1.0,85033.0,0.942261861217907,0.04502369668246442,1.085308056872038,1.0734597156398105,1.0,1.0,90097.0,0.2624011492215806,0.011848341232227444,3
17-43,3-4,598,299,299,3.310328370608148,7.444816053511706,6.62876254180602,4.0,3.0,44050.0,0.6314305426040299,0.014552409928300536,1.4448160535117056,1.5150501672240804,1.0,1.0,40661.5,0.9954232589196711,0.09035693113052423,1.8160535117056855,1.7792642140468227,2.0,2.0,45679.0,0.3066733909165599,0.021890135457097726,1.3478260869565217,1.3612040133779264,1.0,1.0,44401.0,0.5684828232503145,0.006700148767910918,2
17-43,5-8,341,171,170,3.6441753328461566,13.467836257309942,52.63529411764706,7.0,8.0,12067.5,0.9969270574993103,0.1697626418988648,1.6783625730994152,3.2176470588235295,1.0,2.0,11308.5,0.9999441531259021,0.22198142414860678,2.783625730994152,2.6411764705882352,3.0,3.0,15327.5,0.18416245784994162,0.054523563811489595,1.713450292397661,1.7411764705882353,2.0,2.0,14186.5,0.6642365151662566,0.02397660818713454,1
17-43,9+,386,193,193,4.051357131507505,234.68911917098447,161.36269430051814,46.0,36.0,20907.0,0.01864858425258325,0.12255362560068717,5.7927461139896375,4.652849740932642,3.0,3.0,20884.5,0.01845518953045406,0.12134553947756976,5.580310880829016,4.103626943005182,5.0,4.0,25052.0,1.5824302562862498e-09,0.3451099358372036,2.5440414507772022,2.145077720207254,3.0,2.0,23857.0,9.637793978778918e-08,0.2809471395205241,4
44-140,1,1438,719,719,3.4665270503987156,1.7913769123783032,5.255910987482615,1.0,1.0,258816.5,0.4521777979701331,0.0012999046349724264,1.0834492350486786,1.122392211404729,1.0,1.0,258729.5,0.4645374659591523,0.0009633221848457385,1.0,1.0,1.0,1.0,258480.5,1.0,0.0,1.0,1.0,1.0,1.0,258480.5,1.0,0.0,0
44-140,2,1091,546,545,3.666918212686984,4.562271062271062,10.244036697247706,2.0,2.0,141609.0,0.9976011678185156,0.04823066841415469,1.1043956043956045,1.3541284403669724,1.0,1.0,141649.5,0.9974851579825796,0.04795846355479383,1.2326007326007327,1.269724770642202,1.0,1.0,143261.5,0.9212074686980778,0.03712403804146924,1.098901098901099,1.091743119266055,1.0,1.0,149850.0,0.3437762495365846,0.007157979635043832,1
44-140,3-4,823,412,411,3.968988795774408,5.682038834951456,24.450121654501217,4.0,4.0,76076.5,0.9964506900672073,0.10145158623296247,1.383495145631068,2.1946472019464722,1.0,1.0,71283.5,0.9999992899877821,0.15806226820683622,1.912621359223301,1.9221411192214113,2.0,2.0,83162.5,0.6843337414491777,0.01775801384262865,1.3737864077669903,1.467153284671533,1.0,1.0,76917.0,0.9961026011399284,0.0915243427113599,0
44-140,5-8,480,240,240,4.430327792727544,11.233333333333333,64.59166666666667,7.0,9.0,21333.0,0.9999996466548048,0.25927083333333334,1.6583333333333334,3.1666666666666665,1.0,2.0,19290.0,0.999999999993674,0.3302083333333333,2.870833333333333,2.8833333333333333,3.0,3.0,28609.5,0.5513749938118825,0.006614583333333313,1.7583333333333333,1.8333333333333333,2.0,2.0,27029.0,0.9006033468561008,0.06149305555555551,0
44-140,9+,415,208,207,4.750032585330794,144.9471153846154,188.0048309178744,33.0,32.0,20696.5,0.7521319958126047,0.03862411742846528,4.086538461538462,4.2270531400966185,2.0,2.0,21363.5,0.554857304601836,0.007641211445559293,5.4423076923076925,4.328502415458937,5.0,4.0,26811.0,6.4994781244602125e-06,0.24540133779264206,2.4903846153846154,2.207729468599034,2.5,2.0,25308.0,0.000490437283777128,0.17558528428093645,2
141+,1,3056,1528,1528,5.777482122775451,1.2028795811518325,1.1485602094240839,1.0,1.0,1175279.5,0.1622996683583265,0.006756513664647246,1.049738219895288,1.0451570680628273,1.0,1.0,1174889.5,0.17452419556164367,0.006422435651435077,1.0,1.0,1.0,1.0,1167392.0,1.0,0.0,1.0,1.0,1.0,1.0,1167392.0,1.0,0.0,2
141+,2,1680,840,840,6.044734465866236,2.645238095238095,2.4119047619047618,2.0,2.0,359704.0,0.06763787154090903,0.019569160997732427,1.1202380952380953,1.1178571428571429,1.0,1.0,359768.5,0.06575673291589992,0.0197519841269842,1.555952380952381,1.4619047619047618,2.0,1.0,385980.0,5.805092503516378e-05,0.09404761904761916,1.2595238095238095,1.1726190476190477,1.0,1.0,383460.0,7.5891856522916954e-06,0.08690476190476182,4
141+,3-4,1819,910,909,6.390780832558055,6.661538461538462,7.822882288228823,4.0,3.0,441272.5,0.003226203310087143,0.06691932929556699,1.2714285714285714,1.275027502750275,1.0,1.0,428464.0,0.0182719476824885,0.03595062802983584,2.2527472527472527,2.012101210121012,2.0,2.0,478058.0,3.8029328005473606e-10,0.15586020140475587,1.5021978021978022,1.3223322332233223,1.0,1.0,481302.0,5.256562896692217e-13,0.16370362310956366,2
141+,5-8,1511,756,755,6.971755706179085,12.154761904761905,12.033112582781458,7.0,6.0,294370.5,0.1400162812256735,0.031467465573425946,1.4735449735449735,1.5403973509933775,1.0,1.0,266643.5,0.99701270972117,0.06568730509127862,3.484126984126984,3.0225165562913907,3.0,3.0,335292.5,8.051858328710082e-10,0.17485721293668322,1.8584656084656084,1.732450331125828,2.0,2.0,314324.0,9.285103950062499e-05,0.10138407092049473,3
141+,9+,3155,1578,1577,9.626954620523833,486.1514575411914,112.46861128725428,56.0,24.0,1633633.0,1.2467127973887776e-52,0.31294278575177237,2.934727503168568,3.0481927710843375,2.0,2.0,1378770.5,2.184261112913684e-08,0.10811105136977761,12.249049429657795,6.74001268230818,10.0,6.0,1731139.5,1.9046438807647897e-81,0.3913082789432696,2.8193916349809887,2.4273937856689916,3.0,2.0,1531651.5,1.417049760761519e-32,0.23098075712897614,3
