metric_left,metric_right,spearman_corr_lift_profiles,abs_corr
future_child_download_quality_mean_3m,future_direct_children_3m,0.6465591829992855,0.6465591829992855
future_child_download_quality_median_3m,future_direct_children_3m,0.6460389181165662,0.6460389181165662
future_child_like_quality_median_3m,future_child_like_quality_sum_3m,0.639339951539436,0.639339951539436
future_child_future_child_count_mean_3m,future_nonzero_like_child_share_3m,0.636143626748965,0.636143626748965
future_child_becomes_parent_share_3m,future_nonzero_download_child_share_3m,0.6328867828388575,0.6328867828388575
future_active_parent_months_3m,future_child_like_quality_sum_3m,0.6245931908322677,0.6245931908322677
future_high_download_child_owner_breadth_3m,future_nonzero_like_child_share_3m,0.624113194624939,0.624113194624939
future_active_parent_binary_3m,future_child_becomes_parent_share_3m,0.623701318459585,0.623701318459585
future_cross_owner_reuse_share_3m,future_high_like_child_owner_breadth_3m,0.6181064513605619,0.6181064513605619
future_active_parent_binary_3m,future_high_like_child_owner_breadth_3m,0.6179985918743478,0.6179985918743478
future_active_parent_months_3m,future_high_download_child_owner_breadth_3m,0.6178846617262725,0.6178846617262725
future_child_second_order_diffusion_share_3m,future_nonzero_download_child_share_3m,0.6150278717802031,0.6150278717802031
future_child_becomes_parent_share_3m,future_high_like_child_owner_breadth_3m,0.6113676408357678,0.6113676408357678
future_child_future_child_count_median_3m,future_nonzero_download_child_share_3m,0.6101525009339507,0.6101525009339507
future_active_parent_months_3m,future_child_future_child_count_median_3m,0.6077710606708708,0.6077710606708708
future_child_like_quality_mean_3m,future_high_download_child_owner_breadth_3m,0.6057942986886962,0.6057942986886962
future_active_parent_months_3m,future_child_second_order_diffusion_share_3m,0.6033608935456842,0.6033608935456842
future_child_becomes_parent_share_3m,future_cross_owner_reuse_share_3m,0.6016576292030474,0.6016576292030474
future_child_download_quality_median_3m,future_high_download_child_owner_breadth_3m,0.5982033543677212,0.5982033543677212
future_child_download_quality_mean_3m,future_high_download_child_owner_breadth_3m,0.5963484602456507,0.5963484602456507
future_active_parent_binary_3m,future_child_future_child_count_median_3m,0.5947787871722416,0.5947787871722416
future_child_becomes_parent_share_3m,future_child_download_quality_mean_3m,0.5923315663507324,0.5923315663507324
future_child_like_quality_median_3m,future_high_download_child_owner_breadth_3m,0.5916886042804493,0.5916886042804493
future_active_parent_binary_3m,future_child_second_order_diffusion_share_3m,0.5896499870966231,0.5896499870966231
future_child_becomes_parent_share_3m,future_child_download_quality_median_3m,0.588314515720723,0.588314515720723
future_high_like_child_owner_breadth_3m,future_nonzero_download_child_share_3m,0.5867836129484769,0.5867836129484769
future_cross_owner_reuse_share_3m,future_high_download_child_owner_breadth_3m,0.5848870945452699,0.5848870945452699
future_active_parent_months_3m,future_high_download_child_count_3m,0.5845767557090731,0.5845767557090731
future_high_download_child_count_3m,future_nonzero_like_child_share_3m,0.5826789910378354,0.5826789910378354
future_child_future_child_count_median_3m,future_cross_owner_reuse_share_3m,0.5757120076525436,0.5757120076525436
future_child_download_quality_mean_3m,future_child_second_order_diffusion_share_3m,0.5736722191575568,0.5736722191575568
future_child_download_quality_mean_3m,future_high_like_child_owner_breadth_3m,0.5724852615334681,0.5724852615334681
future_active_parent_binary_3m,future_high_like_child_count_3m,0.572032053203341,0.572032053203341
future_child_download_quality_median_3m,future_high_like_child_owner_breadth_3m,0.5709244624720536,0.5709244624720536
future_child_download_quality_median_3m,future_child_second_order_diffusion_share_3m,0.5701309813803083,0.5701309813803083
future_child_download_quality_mean_3m,future_child_future_child_count_median_3m,0.5692311590623614,0.5692311590623614
