scheme,month,metric,family,statistic,method,value,candidate_n,base_value
primary,2025-06,future_active_parent_months_3m,quantity,lift,S_WD_000,4.055611769288765,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,S_WD_025,4.202386290463026,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,S_WD_075,3.800687600933472,496939,0.005209894977049497
primary,2025-06,future_active_parent_months_3m,quantity,lift,S_WD_100,3.723437852947019,496939,0.005209894977049497
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_C3_Q10,0.6626566890693276,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,AllTime DerivCount,0.6573846515180536,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,Current DerivCount,0.5424262633536914,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,Vanilla PageRank,0.6565931199676716,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,Downloads,0.5717849719016771,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,Likes,0.6497090634953103,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,MTPR_time_safe_typed,0.648492876759738,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,Simplified_MTPR_time_safe_typed,0.6309178432507891,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,No-Propagation ModelRank,0.6334580261844371,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,EventValue_time_safe_typed,0.5423861841488328,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,No child quality,0.6526843213709635,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,No type weight,0.6517831438483643,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,No parent size,0.6449904734965084,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,No quality teleport,0.6472037406963732,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,No PageRank propagation,0.6386840066825423,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,No temporal inheritance,0.6326781166705023,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,No event injection,0.6438715817916992,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_D_000,0.6334444049444724,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_D_025,0.6555557148790543,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_D_050,0.6601434411518956,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_D_065,0.6614539797229841,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_D_075,0.662130515708289,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_D_090,0.6627766844815463,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_D_095,0.6628815824603065,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_D_099,0.6628845619629278,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_MEM_01,0.633435304661979,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_MEM_03,0.6603166558213323,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_MEM_06,0.6656082708602915,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_MEM_12,0.6626442733261045,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_Q_000,0.559791624534027,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_Q_005,0.6626403884370627,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_Q_015,0.6626391631780795,496939,0.004425090403449921
primary,2025-06,future_active_parent_binary_3m,quantity,auc,S_Q_020,0.6626579993519087,496939,0.004425090403449921
