candidate,baseline,family,metric,statistic,material_threshold,n_months,mean_difference,sd_difference,ci_low,ci_high,p_raw,bootstrap_ci_low,bootstrap_ci_high,bootstrap_direction,holm_p,holm_family_size,decision,robust_material_win,material_loss
S_C3_Q10,Downloads,adoption_breadth,future_cross_owner_reuse_share_3m,lift,0.1,6,1.6697336221734258,0.568046837470341,1.0736050258018484,2.2658622185450032,0.0008050001947660837,1.2580257704808637,2.08521563267438,positive,0.008855002142426922,21,win,True,False
S_C3_Q10,Likes,quantity,future_direct_children_3m,lift,0.1,6,0.6736065899925392,0.14477380930340378,0.5216757947860424,0.825537385199036,9.102739678836714e-05,0.5705888410230404,0.7762215516481253,positive,0.0017295205389789758,21,win,True,False
S_C3_Q10,Likes,quantity,future_active_parent_months_3m,lift,0.1,6,0.4323814687823288,0.08162230952633426,0.3467241081547721,0.5180388294098854,4.846053401302026e-05,0.37308588282035343,0.4897868293608442,positive,0.0010176712142734255,21,win,True,False
S_C3_Q10,Likes,quantity,future_active_parent_binary_3m,auc,0.01,6,0.03408864619977453,0.0432060272104684,-0.011253298613206682,0.07943059101275574,0.11112000491331782,0.0028401472618502046,0.06576253403426935,positive,1.0,21,tie,False,False
S_C3_Q10,Likes,descendant_quality,future_child_download_quality_sum_3m,lift,0.1,6,0.4515555395675632,0.08720836351513618,0.36003597479777466,0.5430751043373517,5.415779830084673e-05,0.3910077318130935,0.5164483177870208,positive,0.0010831559660169346,21,win,True,False
S_C3_Q10,Likes,descendant_quality,future_child_like_quality_sum_3m,lift,0.1,6,0.09489106278252184,0.25964129750874554,-0.17758576841199214,0.36736789397703584,0.41169194310179047,-0.12246652440329053,0.22611453171939724,mixed,1.0,21,tie,False,False
S_C3_Q10,Likes,descendant_quality,future_high_download_child_count_3m,lift,0.1,6,0.1788593003664112,0.26681110576494177,-0.1011417831433756,0.458860383876198,0.1615047990043538,-0.012856726800468713,0.3829555624435828,mixed,1.0,21,tie,False,False
S_C3_Q10,Likes,descendant_quality,future_high_like_child_count_3m,lift,0.1,6,0.1514774860273936,0.3238423041255948,-0.18837416962803985,0.49132914168282704,0.3037581202058861,-0.11655399845512864,0.3343977422835458,mixed,1.0,21,tie,False,False
S_C3_Q10,Likes,descendant_quality,future_nonzero_like_child_share_3m,lift,0.1,6,0.09889229240492788,0.3482497631797961,-0.2665734206612864,0.46435800547114214,0.5176880968477146,-0.1800219735698295,0.3191809969992092,mixed,1.0,21,tie,False,False
S_C3_Q10,Likes,descendant_quality,future_nonzero_download_child_share_3m,lift,0.1,6,0.4675572669169689,0.12342333107323711,0.33803242449403237,0.5970821093399055,0.0002444335767794249,0.37384416860912534,0.5584066733747555,positive,0.004399804382029649,21,win,True,False
S_C3_Q10,Likes,descendant_quality,future_child_download_quality_mean_3m,lift,0.1,6,0.3532583097368223,0.1383832772001778,0.20803396667735038,0.4984826527962942,0.001533468063308603,0.2647371871467801,0.46528027052400917,positive,0.022102723398865327,21,win,True,False
S_C3_Q10,Likes,descendant_quality,future_child_download_quality_median_3m,lift,0.1,6,0.35434150446401524,0.13758718068294423,0.20995261346252528,0.49873039546550524,0.0014735148932576885,0.2664486618838433,0.46389387276788074,positive,0.022102723398865327,21,win,True,False
S_C3_Q10,Likes,descendant_quality,future_child_like_quality_mean_3m,lift,0.1,6,0.02302954131880819,0.2549078090947375,-0.24447979843301104,0.2905388810706274,0.8336139798539363,-0.1935942449902924,0.17349568348575017,mixed,1.0,21,tie,False,False
S_C3_Q10,Likes,descendant_quality,future_child_like_quality_median_3m,lift,0.1,6,0.028729508753663275,0.27669371004198895,-0.2616427318994453,0.31910174940677183,0.8093660653650994,-0.19826776904306934,0.19362789313529363,mixed,1.0,21,tie,False,False
S_C3_Q10,Likes,repropagation,future_child_becomes_parent_share_3m,lift,0.1,3,1.073973548286606,0.25324980571243866,0.44486615543068897,1.703080941142523,0.018034987974002534,0.9238711206919028,1.366366451632973,positive,0.2164198556880304,21,tie,False,False
