model_id,Downloads,Likes,S_C3_Q10,role,month,download_p90,modelrank_p90
Qwen/Qwen2-Math-72B,60.0,30.0,0.5849619344177027,Popular Root,2025-05,29.0,0.1877114771442029
Qwen/Qwen2-Math-72B,83.0,30.0,15.87897663132424,Popular Root,2025-06,73.0,0.1671328586157394
Qwen/Qwen2-Math-72B,234.0,30.0,0.555713611120632,Popular Root,2025-07,46.0,0.1616196593713486
Qwen/Qwen2-Math-72B,145.0,30.0,0.6362958851061139,Popular Root,2025-08,37.0,0.1789208319783163
Qwen/Qwen2-Math-72B,170.0,30.0,0.6157915694146484,Popular Root,2025-09,56.0,0.1745556870024762
Qwen/Qwen2-Math-72B,197.0,30.0,1.0059920261932398,Popular Root,2025-10,56.0,0.2497182525588382
Qwen/Qwen2-Math-72B,414.0,30.0,0.6676886770850127,Popular Root,2025-11,89.0,0.1764457011105828
Qwen/Qwen2-Math-72B,391.0,30.0,0.5334150663093687,Popular Root,2025-12,55.0,0.1615341957713476
Qwen/Qwen2-Math-72B,107.0,30.0,0.7383920979879032,Popular Root,2026-01,30.0,0.1954875292731835
Qwen/Qwen2-Math-72B,54.0,30.0,0.7435871065543581,Popular Root,2026-02,45.0,0.2434687593373653
deepseek-ai/DeepSeek-Prover-V1,110.0,2.0,0.21649659392147055,Long Tail,2024-08,116.0,0.2308944160471986
deepseek-ai/DeepSeek-Prover-V1,477.0,2.0,23.404450694184302,Popular Root,2024-09,100.0,0.2475988486003169
deepseek-ai/DeepSeek-Prover-V1,30.0,2.0,0.36575242625961407,Hidden Root,2024-10,75.0,0.238593793034825
deepseek-ai/DeepSeek-Prover-V1,19.0,2.0,0.4721077079553806,Hidden Root,2024-11,82.0,0.2028459520811253
deepseek-ai/DeepSeek-Prover-V1,205.0,2.0,0.34871697273332825,Popular Root,2024-12,51.0,0.1918775380863641
deepseek-ai/DeepSeek-Prover-V1,146.0,5.0,0.4489955251586414,Popular Root,2025-01,119.0,0.1811518922358358
deepseek-ai/DeepSeek-Prover-V1,138.0,6.0,0.5232825896447428,Popular Root,2025-02,111.0,0.1825346650438559
deepseek-ai/DeepSeek-Prover-V1,132.0,8.0,13.678908996860352,Popular Root,2025-03,61.0,0.1913654759481211
deepseek-ai/DeepSeek-Prover-V1,408.0,11.0,0.6272721402464184,Popular Root,2025-04,48.0,0.2265555325290591
deepseek-ai/DeepSeek-Prover-V1,425.0,11.0,0.7687478794796665,Popular Root,2025-05,29.0,0.1877114771442029
deepseek-ai/DeepSeek-Prover-V1,1117.0,11.0,0.668401028596887,Popular Root,2025-06,73.0,0.1671328586157394
deepseek-ai/DeepSeek-Prover-V1,927.0,11.0,24.35016764465318,Popular Root,2025-07,46.0,0.1616196593713486
deepseek-ai/DeepSeek-Prover-V1,1196.0,11.0,0.5751711476566514,Popular Root,2025-08,37.0,0.1789208319783163
deepseek-ai/DeepSeek-Prover-V1,757.0,11.0,0.7383266211619653,Popular Root,2025-09,56.0,0.1745556870024762
deepseek-ai/DeepSeek-Prover-V1,95.0,11.0,0.7863115535351071,Popular Root,2025-10,56.0,0.2497182525588382
deepseek-ai/DeepSeek-Prover-V1,82.0,11.0,0.7510326396260032,Hidden Root,2025-11,89.0,0.1764457011105828
deepseek-ai/DeepSeek-Prover-V1,121.0,11.0,0.6092328481570382,Popular Root,2025-12,55.0,0.1615341957713476
deepseek-ai/DeepSeek-Prover-V1,63.0,11.0,0.4612211378279307,Popular Root,2026-01,30.0,0.1954875292731835
deepseek-ai/DeepSeek-Prover-V1,19.0,11.0,0.5793379105481103,Hidden Root,2026-02,45.0,0.2434687593373653
deepseek-ai/DeepSeek-Prover-V1.5-SFT,447.0,6.0,9.798057109396487,Popular Root,2024-08,116.0,0.2308944160471986
deepseek-ai/DeepSeek-Prover-V1.5-SFT,93.0,6.0,2.878125578624942,Hidden Root,2024-09,100.0,0.2475988486003169
deepseek-ai/DeepSeek-Prover-V1.5-SFT,37.0,6.0,1.466050189001037,Hidden Root,2024-10,75.0,0.238593793034825
