family,metric,statistic,method,mean,count
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_C3_Q10,2.7880788483589503,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_D_000,2.7946250081502932,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_D_025,2.8492380737732836,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_D_050,2.7981640104828784,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_D_065,2.786099264094769,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_D_075,2.791538270135394,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_D_090,2.8027564872429647,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_D_095,2.80730783525849,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_D_099,2.8046085275719324,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_MEM_01,2.7946250081502932,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_MEM_03,3.0564831229650182,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_MEM_06,3.0592920120264346,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_MEM_12,2.8245908157751267,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_Q_000,2.5169627854809193,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_Q_005,2.7880788483589503,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_Q_015,2.7880788483589503,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_Q_020,2.7880788483589503,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_Q_030,2.7880788483589503,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_Q_040,2.7880788483589503,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_Q_050,2.7880788483589503,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_Q_060,2.7880788483589503,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_Q_070,2.7880788483589503,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_Q_080,2.7880788483589503,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_Q_090,2.7880788483589503,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_Q_100,2.759987388053109,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_WD_000,2.9561139891231516,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_WD_025,2.984935342754941,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_WD_075,2.670925651732201,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,S_WD_100,2.636960209712479,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,Simplified_MTPR_time_safe_typed,2.731169495363926,6
adoption_breadth,future_high_download_child_owner_breadth_3m,lift,Vanilla PageRank,2.6550742843147166,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,AllTime DerivCount,4.679792040483564,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,Current DerivCount,2.826707315002827,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,Downloads,2.8328114447992814,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,EventValue_time_safe_typed,2.826707315002827,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,Likes,4.709021503739324,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,MTPR_time_safe_typed,4.4166342020471605,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,No PageRank propagation,4.311624420127118,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,No child quality,4.445669172319437,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,No event injection,4.369958599471956,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,No parent size,4.3856427902534305,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,No quality teleport,4.50986111168816,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,No temporal inheritance,4.362738884677184,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,No type weight,4.442322470257769,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,No-Propagation ModelRank,4.372809254536697,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_C3_Q10,4.832957168875769,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_D_000,4.372809254536697,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_D_025,4.781530588006308,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_D_050,4.808997806493775,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_D_065,4.814881228306405,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_D_075,4.834500084036589,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_D_090,4.843376304820251,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_D_095,4.847995616468997,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_D_099,4.852597776151289,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_MEM_01,4.372809254536697,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_MEM_03,4.6830926277161415,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_MEM_06,4.759517708409143,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_MEM_12,4.782620502923766,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_Q_000,3.3041329535238915,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_Q_005,4.832957168875769,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_Q_015,4.832957168875769,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_Q_020,4.832957168875769,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_Q_030,4.832957168875769,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_Q_040,4.832957168875769,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_Q_050,4.832957168875769,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_Q_060,4.832957168875769,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_Q_070,4.832957168875769,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_Q_080,4.832957168875769,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_Q_090,4.832957168875769,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_Q_100,4.795361800227586,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_WD_000,5.074951960362976,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_WD_025,5.112969227086888,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_WD_075,4.640759811573308,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,S_WD_100,4.560536948708108,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,Simplified_MTPR_time_safe_typed,4.31583178266342,6
adoption_breadth,future_high_like_child_owner_breadth_3m,lift,Vanilla PageRank,4.679792040483564,6
descendant_quality,future_child_download_quality_mean_3m,lift,AllTime DerivCount,4.0114494825290805,6
descendant_quality,future_child_download_quality_mean_3m,lift,Current DerivCount,2.3603085903656083,6
descendant_quality,future_child_download_quality_mean_3m,lift,Downloads,2.98443327235911,6
descendant_quality,future_child_download_quality_mean_3m,lift,EventValue_time_safe_typed,2.3603085903656083,6
descendant_quality,future_child_download_quality_mean_3m,lift,Likes,3.916718032834275,6
descendant_quality,future_child_download_quality_mean_3m,lift,MTPR_time_safe_typed,4.0334482562732585,6
descendant_quality,future_child_download_quality_mean_3m,lift,No PageRank propagation,3.89295921511728,6
descendant_quality,future_child_download_quality_mean_3m,lift,No child quality,4.071974983420449,6
descendant_quality,future_child_download_quality_mean_3m,lift,No event injection,3.9825888088783903,6
descendant_quality,future_child_download_quality_mean_3m,lift,No parent size,3.9923423188385194,6
descendant_quality,future_child_download_quality_mean_3m,lift,No quality teleport,3.829128743256858,6
descendant_quality,future_child_download_quality_mean_3m,lift,No temporal inheritance,3.9909250150559097,6
descendant_quality,future_child_download_quality_mean_3m,lift,No type weight,4.063728813850891,6
descendant_quality,future_child_download_quality_mean_3m,lift,No-Propagation ModelRank,3.995484146370513,6
