download_band,deriv_band,n,n_hi,n_lo,median_score,mr_hi_desc_count_mean,mr_lo_desc_count_mean,desc_count_effect_r,desc_count_p_value,mr_hi_desc_depth_mean,mr_lo_desc_depth_mean,desc_depth_effect_r,desc_depth_p_value,mr_hi_active_months_mean,mr_lo_active_months_mean,active_months_effect_r,active_months_p_value,mr_hi_type_diversity_mean,mr_lo_type_diversity_mean,type_diversity_effect_r,type_diversity_p_value
17-43,2,828,414,414,0.5996170667675609,3.36231884057971,2.248792270531401,0.04088193423417108,0.03018133196033043,1.1884057971014492,1.0869565217391304,0.038904058437769784,0.03906359293072637,1.1111111111111112,1.285024154589372,-0.17391304347826086,3.512291065948633e-10,1.070048309178744,1.0917874396135265,-0.021739130434782594,0.25183408375088956
17-43,3-4,593,297,296,0.7806206685719785,9.457912457912458,4.462837837837838,0.30084630084630093,4.7312373744025684e-12,1.6902356902356903,1.2466216216216217,0.17975930475930468,2.1122088373206644e-07,1.6902356902356903,1.7297297297297298,-0.03806078806078805,0.38076094815958583,1.4006734006734007,1.304054054054054,0.09300209300209294,0.017122745991340643
17-43,5-8,340,170,170,1.2011246551027388,50.14705882352941,16.31764705882353,0.4373356401384083,1.8174443210637743e-12,3.0176470588235293,1.911764705882353,0.34051903114186843,3.200174162817171e-09,2.541176470588235,2.4411764705882355,0.06027681660899664,0.31919154431550945,1.8352941176470587,1.5823529411764705,0.19480968858131487,0.0006061895682400812
17-43,9+,388,194,194,2.46467907777531,341.1185567010309,52.45876288659794,0.6844244871931129,1.9822575525434735e-31,7.231958762886598,3.1649484536082473,0.5507758529067914,2.0980787494925434e-21,5.731958762886598,3.5,0.5027633117228185,5.163047277520361e-18,2.6082474226804124,2.082474226804124,0.37968965883728356,1.7161713000527631e-12
44-140,1,1420,710,710,0.39238016549231314,5.095774647887324,1.4140845070422534,0.05110493949613182,1.724719467268948e-06,1.1408450704225352,1.0380281690140845,0.050799444554651796,1.9839325554757346e-06,1.0,1.0,0.0,1.0,0.9971830985915493,0.9985915492957746,-0.0014084507042253502,0.563977402105897
44-140,2,1080,540,540,0.6252724792528381,12.553703703703704,2.346296296296296,0.02914951989026071,0.08678196446194586,1.3518518518518519,1.1018518518518519,0.02806584362139919,0.09907768958500554,1.1388888888888888,1.3240740740740742,-0.18518518518518523,5.55550976873494e-13,1.0740740740740742,1.1074074074074074,-0.033470507544581585,0.05793083880308044
44-140,3-4,805,403,402,0.7944805350560189,26.94044665012407,5.256218905472637,0.3209016949989507,4.080675311327819e-17,2.235732009925558,1.400497512437811,0.19541868819673347,3.354559324236609e-09,1.7692307692307692,1.86318407960199,-0.07336765304988702,0.049125355896592914,1.4739454094292803,1.3606965174129353,0.10999592607681197,0.001550690573730343
44-140,5-8,470,235,235,1.2238457663984956,60.242553191489364,11.506382978723405,0.23942055228610237,5.782261864970721e-06,2.9446808510638296,1.8638297872340426,0.13517428700769574,0.005901491002209715,2.5829787234042554,2.6340425531914895,-0.03518334087822539,0.49639226345966836,1.8127659574468085,1.7531914893617022,0.04679040289723857,0.33262662638568485
44-140,9+,421,211,210,2.6277400337804995,291.76777251184836,41.24761904761905,0.647686752426089,1.3497809261786822e-30,5.483412322274882,2.857142857142857,0.4160009027307605,4.96476376391509e-14,5.355450236966824,3.323809523809524,0.35675919656962307,1.5415841205948184e-10,2.5876777251184833,2.1285714285714286,0.3005416384563304,1.2857420095395872e-08
141+,1,3032,1516,1516,0.5472594327169702,1.3806068601583112,1.0230870712401055,0.05164220173905787,3.109347719112632e-13,1.08377308707124,1.0191292875989446,0.05136372971505354,4.135237631806029e-13,1.0,1.0,0.0,1.0,0.9980211081794196,0.9973614775725593,0.0006596306068602509,0.7053640605966066
141+,2,1656,828,828,0.7306666943686333,2.630434782608696,2.0905797101449277,0.048969929286564406,0.0001843586585675057,1.1654589371980677,1.0615942028985508,0.047840964783308904,0.00025733516061878376,1.3719806763285025,1.5326086956521738,-0.16062801932367154,5.220514287559767e-11,1.1871980676328502,1.2367149758454106,-0.049516908212560384,0.01372427489306461
141+,3-4,1811,906,905,0.9352636616169945,11.02317880794702,3.698342541436464,0.22235922578756728,1.6616309604124553e-19,1.4326710816777042,1.1215469613259668,0.13981071554888835,4.584571494602535e-16,2.0022075055187636,1.949171270718232,0.032192992084690175,0.20397097812537535,1.4569536423841059,1.358011049723757,0.10326369324210605,7.1201664531264055e-06
141+,5-8,1501,751,750,1.3492370484864222,16.8069241011984,7.3053333333333335,0.3198402130492677,6.567032002349911e-28,1.6750998668442076,1.292,0.19975854416333783,3.650958899416493e-17,2.9414114513981358,2.7586666666666666,0.07889036839769203,0.0065394712465749166,1.8575233022636484,1.7173333333333334,0.1132072791833112,3.1952041077520564e-05
141+,9+,3131,1566,1565,6.573911021206299,547.8365261813537,52.53674121405751,0.5496084935877819,2.7734496512652277e-156,3.606641123882503,2.394888178913738,0.33748342371235407,5.022456062364763e-65,9.970625798212005,5.417252396166134,0.47911285748676957,6.053114124566661e-120,2.897828863346105,2.3335463258785945,0.34217170789826956,3.0767776945905922e-68
