month,percentile,threshold_rule,n,pr_n,pr_share,pl_n,pl_share,hr_n,hr_share,lt_n,lt_share,effect_status,hr_median_desc_breadth,pl_median_desc_breadth,mann_whitney_u,p_value,signed_rank_biserial,absolute_rank_biserial,download_boundary,modelrank_boundary,download_boundary_tie_n,modelrank_boundary_tie_n,download_high_n,modelrank_high_n,exact_modelrank
2025-05,0.9,exact_top_decile,529182,33336,0.0629953399775502,20013,0.0378187466693878,19583,0.0370061717896678,456250,0.862179741563394,estimable,2.0,0.0,385302519.5,0.0,-0.9662576497313716,0.9662576497313716,29.0,0.1877114771442029,941,140,53349,52919,True
2025-05,0.9,p90_with_ties,529182,33337,0.0629972296865728,20012,0.0378168569603652,19583,0.0370061717896678,456250,0.862179741563394,estimable,2.0,0.0,385283242.0,0.0,-0.9662575227166208,0.9662575227166208,29.0,0.1877114771442029,941,140,53349,52920,False
2025-06,0.9,exact_top_decile,552524,31523,0.05705272531147968,24062,0.0435492394900493,23730,0.042948360614199564,473209,0.8564496745842715,estimable,2.0,0.0,561961760.0,0.0,-0.9683725456673364,0.9683725456673364,73.0,0.1671328586157394,375,59,55585,55253,True
2025-06,0.9,p90_with_ties,552524,31533,0.05707082407280046,24052,0.043531140728728525,23730,0.042948360614199564,473209,0.8564496745842715,estimable,2.0,0.0,561728165.0,0.0,-0.9683723788793335,0.9683723788793335,73.0,0.1671328586157394,375,59,55585,55263,False
2025-07,0.9,exact_top_decile,574437,35782,0.062290555796371,21922,0.0381625835383166,21662,0.0377099664541107,495071,0.8618368942112016,estimable,2.0,0.0,465474297.5,0.0,-0.960410301281288,0.960410301281288,46.0,0.1616196593713486,603,0,57704,57444,True
2025-07,0.9,p90_with_ties,574437,35782,0.062290555796371,21922,0.0381625835383166,21662,0.0377099664541107,495071,0.8618368942112016,estimable,2.0,0.0,465474297.5,0.0,-0.960410301281288,0.960410301281288,46.0,0.1616196593713486,603,0,57704,57444,False
2025-08,0.9,exact_top_decile,595863,37642,0.0631722392563391,22550,0.0378442695720325,21945,0.0368289355103438,513726,0.8621545556612845,estimable,2.0,0.0,486560214.5,0.0,-0.9664570193878164,0.9664570193878164,37.0,0.1789208319783163,661,68,60192,59587,True
2025-08,0.9,p90_with_ties,595863,37673,0.0632242646380124,22519,0.0377922441903591,21946,0.0368306137484623,513725,0.862152877423166,estimable,2.0,0.0,485902120.0,0.0,-0.9664110851973248,0.9664110851973248,37.0,0.1789208319783163,661,68,60192,59619,False
2025-09,0.9,exact_top_decile,614625,39965,0.0650233882448647,21563,0.0350831808013016,21498,0.0349774252593044,531599,0.8649160056945292,estimable,2.0,0.0,454981402.0,0.0,-0.9629823687596542,0.9629823687596542,56.0,0.1745556870024762,356,54,61528,61463,True
2025-09,0.9,p90_with_ties,614625,39994,0.0650705714866788,21534,0.0350359975594874,21498,0.0349774252593044,531599,0.8649160056945292,estimable,2.0,0.0,454369168.5,0.0,-0.9629809401749349,0.9629809401749349,56.0,0.1745556870024762,356,54,61528,61492,False
