month,percentile,threshold_rule,n,pr_n,pr_share,pl_n,pl_share,hr_n,hr_share,lt_n,lt_share,effect_status,hr_median_desc_breadth,pl_median_desc_breadth,mann_whitney_u,p_value,signed_rank_biserial,absolute_rank_biserial,download_boundary,modelrank_boundary,download_boundary_tie_n,modelrank_boundary_tie_n,download_high_n,modelrank_high_n,exact_modelrank
2024-11,0.95,percentile_with_ties,306140,8472,0.0276736133794995,6852,0.0223819167701051,6835,0.0223263866205004,283981,0.9276180832298948,estimable,2.0,0.0,46463032.5,0.0,-0.984182769483843,0.984182769483843,364.0,0.3301778353746886,34,0,15324,15307,False
2024-12,0.5,percentile_with_ties,343340,172288,0.5017999650492223,11542,0.0336168229743111,2156,0.0062794897186462,157354,0.4583037222578202,estimable,0.0,0.0,15367101.0,0.0,-0.235071541573262,0.235071541573262,2.0,0.0487978118922817,12563,9295,183830,174444,False
2024-12,0.7,percentile_with_ties,343340,99461,0.2896866080270286,4648,0.0135376012116269,7030,0.0204753305761053,232201,0.6763004601852391,estimable,1.0,0.0,25328433.5,0.0,-0.5503040509936514,0.5503040509936514,12.0,0.09289529464686,5683,4882,104109,106491,False
2024-12,0.8,percentile_with_ties,343340,57398,0.167175394652531,12506,0.0364245354459136,11884,0.034612920137473,261552,0.7617871497640822,estimable,1.0,0.0,122411152.5,0.0,-0.6472894424341749,0.6472894424341749,19.0,0.1146855865884295,3346,1993,69904,69282,False
2024-12,0.85,percentile_with_ties,343340,40777,0.1187656550358245,12640,0.0368148191297256,10926,0.0318226830546979,278997,0.8125968427797519,estimable,1.0,0.0,126613034.0,0.0,-0.8335811743906649,0.8335811743906649,25.0,0.1404129588959082,2372,421,53417,51703,False
2024-12,0.9,percentile_with_ties,343340,23906,0.0696277742179763,10725,0.03123725752898,10441,0.030410089124483,298268,0.8687248791285606,estimable,1.0,0.0,108824516.5,0.0,-0.9436467896308908,0.9436467896308908,51.0,0.1918775380863641,309,32,34631,34347,False
2024-12,0.95,percentile_with_ties,343340,8933,0.0260179413991961,8280,0.0241160365818139,8234,0.0239820586008038,317893,0.925883963418186,estimable,2.0,0.0,66708494.0,0.0,-0.9569058540117036,0.9569058540117036,235.0,0.3360773304774441,48,0,17213,17167,False
2025-01,0.5,percentile_with_ties,399316,208848,0.5230143545462741,0,0.0,4252,0.0106482084364262,186216,0.4663374370172995,not_estimable_empty_group,0.0,,,,,,3.0,0.0459266797055755,14774,14615,208848,213100,False
2025-01,0.7,percentile_with_ties,399316,110935,0.2778125594767052,13114,0.0328411583808312,10192,0.0255236454336916,265075,0.663822636708772,estimable,1.0,0.0,117260375.5,0.0,-0.7546345712121383,0.7546345712121383,10.0,0.091853359411151,5373,1793,124049,121127,False
2025-01,0.8,percentile_with_ties,399316,66937,0.1676291458393853,13423,0.0336149816185677,12950,0.0324304560798966,306006,0.7663254164621502,estimable,1.0,0.0,161087876.0,0.0,-0.8534184942171235,0.8534184942171235,46.0,0.1487044675713407,616,194,80360,79887,False
